,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
2285,2,BHK,Apartment,Charholi Budruk,Pune,18.62452126,73.91722107,INR,2.0,0.0,Not Negotiable,Unfurnished,924.0,60000.0,23000.0
2286,1,BHK,Apartment,Vishrantwadi,Pune,18.57470322,73.88276672,INR,1.0,1.0,Not Negotiable,Unfurnished,610.0,40000.0,15500.0
2287,2,BHK,Apartment,Vishrantwadi,Pune,18.57247162,73.87510681,INR,2.0,0.0,Not Negotiable,Unfurnished,659.0,60000.0,25000.0
2288,2,BHK,Apartment,Tingre Nagar,Pune,18.57403183,73.88536835,INR,2.0,0.0,Not Negotiable,Unfurnished,920.0,60000.0,26000.0
2289,1,BHK,Apartment,Dhanori,Pune,18.59573936,73.89610291,INR,1.0,1.0,Not Negotiable,Unfurnished,615.0,40000.0,13000.0
2290,1,BHK,Apartment,Dhanori,Pune,18.59919357,73.89832306,INR,1.0,0.0,Not Negotiable,Unfurnished,508.0,35000.0,13500.0
2291,1,BHK,Apartment,Vishrantwadi,Pune,18.57470322,73.88276672,INR,1.0,1.0,Not Negotiable,Unfurnished,612.0,40000.0,15000.0
2292,2,BHK,Apartment,Tingre Nagar,Pune,18.57403183,73.88536835,INR,2.0,0.0,Not Negotiable,Unfurnished,920.0,70000.0,23000.0
2293,2,BHK,Apartment,Pimple Saudagar,Pune,18.59862518,73.80445099,INR,2.0,0.0,Not Negotiable,Unfurnished,1000.0,50000.0,24000.0
2294,1,BHK,Apartment,Dhanori,Pune,18.59573936,73.89610291,INR,1.0,1.0,Not Negotiable,Unfurnished,615.0,40000.0,13000.0
2295,1,BHK,Apartment,Dhanori,Pune,18.59919357,73.89832306,INR,1.0,0.0,Not Negotiable,Unfurnished,508.0,35000.0,13500.0
2296,1,BHK,Apartment,Vishrantwadi,Pune,18.57470322,73.88276672,INR,1.0,1.0,Not Negotiable,Unfurnished,612.0,40000.0,15000.0
2297,2,BHK,Apartment,Tingre Nagar,Pune,18.57403183,73.88536835,INR,2.0,0.0,Not Negotiable,Unfurnished,920.0,70000.0,23000.0
2298,2,BHK,Apartment,Tathawade,Pune,18.62182426,73.75257874,INR,2.0,0.0,Not Negotiable,Unfurnished,963.0,70000.0,25000.0
2299,2,BHK,Apartment,Hinjewadi,Pune,18.58532906,73.73147583,INR,2.0,1.0,Not Negotiable,Unfurnished,1004.0,60000.0,27000.0
2300,2,BHK,Apartment,Balewadi,Pune,18.57761574,73.77683258,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,75000.0,28000.0
2301,3,BHK,Apartment,Baner,Pune,18.55714989,73.78253937,INR,3.0,3.0,Not Negotiable,Furnished,1787.0,150000.0,60000.0
2302,2,BHK,Apartment,Tathawade,Pune,18.62059402,73.75565338,INR,2.0,0.0,Not Negotiable,Unfurnished,852.0,50000.0,24000.0
2303,2,BHK,Apartment,Tathawade,Pune,18.61263275,73.75180817,INR,2.0,0.0,Not Negotiable,Unfurnished,780.0,50000.0,24000.0
2304,2,BHK,Apartment,Balewadi,Pune,18.58031654,73.76448059,INR,2.0,1.0,Not Negotiable,Unfurnished,899.0,80000.0,28000.0
2305,2,BHK,Apartment,Mahalunge,Pune,18.56776237,73.73348999,INR,2.0,2.0,Not Negotiable,Unfurnished,997.0,75000.0,24000.0
2306,3,BHK,Apartment,Sus,Pune,18.55571556,73.76322174,INR,3.0,2.0,Not Negotiable,Unfurnished,1530.0,90000.0,30000.0
2307,1,BHK,Apartment,Dhanori,Pune,18.60419464,73.90248871,INR,1.0,1.0,Not Negotiable,Unfurnished,612.0,60000.0,18500.0
2308,1,BHK,Apartment,Lohegaon,Pune,18.61598969,73.91094208,INR,1.0,0.0,Not Negotiable,Unfurnished,645.0,45000.0,15000.0
2309,1,BHK,Apartment,Dhanori,Pune,18.58503914,73.89508057,INR,1.0,0.0,Not Negotiable,Unfurnished,650.0,35000.0,16000.0
2310,2,BHK,Apartment,Dhanori,Pune,18.58503914,73.89508057,INR,2.0,0.0,Not Negotiable,Unfurnished,950.0,50000.0,20000.0
2311,3,BHK,Apartment,Marunji,Pune,18.61275101,73.71643066,INR,3.0,0.0,Not Negotiable,Furnished,1224.0,0.0,50000.0
2312,2,BHK,Apartment,Kharadi,Pune,18.55772781,73.94032288,INR,2.0,2.0,Negotiable,Unfurnished,1167.0,60000.0,34500.0
2313,2,BHK,Apartment,Vadgaon Budruk,Pune,18.4702816,73.82859039,INR,2.0,1.0,Not Negotiable,Semi-Furnished,820.0,40000.0,14500.0
2314,2,BHK,Apartment,Chinchwad,Pune,18.63580513,73.80122375,INR,2.0,0.0,Not Negotiable,Semi-Furnished,819.0,60000.0,23000.0
2315,3,BHK,Apartment,Wagholi,Pune,18.58343315,73.99557495,INR,3.0,0.0,Not Negotiable,Furnished,1750.0,0.0,35000.0
2316,2,BHK,Apartment,Handewadi,Pune,18.45469475,73.93287659,INR,1.0,1.0,Negotiable,Unfurnished,1000.0,25000.0,12500.0
2317,2,BHK,Apartment,Mahalunge,Pune,18.56823921,73.73696899,INR,2.0,3.0,Negotiable,Unfurnished,716.0,60000.0,29356.0
2318,2,BHK,Apartment,Wagholi,Pune,18.58727837,74.00176239,INR,2.0,1.0,Not Negotiable,Semi-Furnished,614.0,40000.0,18000.0
2319,3,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.47274971,73.91949463,INR,2.0,2.0,Negotiable,Furnished,1250.0,100000.0,27500.0
2320,2,BHK,Apartment,Dhanori,Pune,21.87574005,83.99294281,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1034.0,0.0,15000.0
2321,1,BHK,Apartment,Kothrud,Pune,18.50198364,73.82216644,INR,1.0,0.0,Not Negotiable,Furnished,950.0,0.0,15000.0
2322,1,BHK,Independent Floor,Kharadi,Pune,18.55319595,73.94537354,INR,1.0,0.0,Not Negotiable,Furnished,900.0,0.0,18000.0
2323,2,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.46917725,73.91532135,INR,2.0,1.0,Not Negotiable,Semi-Furnished,900.0,60000.0,15000.0
2324,2,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.46917725,73.91532135,INR,2.0,1.0,Not Negotiable,Semi-Furnished,900.0,60000.0,15000.0
2325,2,BHK,Apartment,NIBM Annex Mohammadwadi,Pune,18.46917725,73.91532135,INR,2.0,1.0,Not Negotiable,Semi-Furnished,900.0,60000.0,15000.0
2326,1,BHK,Apartment,Wadgaon Budruk,Pune,18.46157646,73.81690979,INR,1.0,1.0,Negotiable,Unfurnished,510.0,35000.0,8500.0
2327,3,BHK,Apartment,Undri,Pune,18.46117592,73.92504883,INR,3.0,1.0,Not Negotiable,Unfurnished,1100.0,100000.0,30000.0
2328,2,BHK,Apartment,Undri,Pune,18.45881081,73.91819,INR,2.0,1.0,Not Negotiable,Semi-Furnished,850.0,100000.0,25000.0
2329,3,BHK,Villa,Undri,Pune,18.4505558,73.90136719,INR,3.0,1.0,Not Negotiable,Unfurnished,1500.0,100000.0,40000.0
2330,2,BHK,Apartment,Dhayari,Pune,21.19968414,72.78279877,INR,1.0,0.0,Not Negotiable,Semi-Furnished,1200.0,0.0,11000.0
2331,1,BHK,Apartment,Aundh,Pune,18.56040573,73.80667114,INR,2.0,1.0,Not Negotiable,Unfurnished,615.0,40000.0,15000.0
2332,3,BHK,Apartment,Baner,Pune,18.55434418,73.77623749,INR,3.0,2.0,Negotiable,Semi-Furnished,1637.0,100000.0,32000.0
2333,2,BHK,Apartment,Baner,Pune,18.55401611,73.77603912,INR,2.0,2.0,Negotiable,Semi-Furnished,1028.0,60000.0,23000.0
2334,3,BHK,Apartment,Balewadi,Pune,18.58169174,73.76519775,INR,3.0,2.0,Negotiable,Semi-Furnished,1532.0,50000.0,23000.0
2335,3,BHK,Apartment,Balewadi,Pune,18.57995987,73.76641846,INR,3.0,2.0,Negotiable,Semi-Furnished,1565.0,100000.0,30000.0
2336,3,BHK,Apartment,Baner,Pune,18.56174278,73.77076721,INR,3.0,2.0,Negotiable,Semi-Furnished,1594.0,100000.0,28000.0
2337,1,BHK,Apartment,Alandi,Pune,18.64485741,73.8796463,INR,1.0,2.0,Negotiable,Semi-Furnished,650.0,26000.0,13500.0
2338,1,BHK,Apartment,Chimbali,Pune,18.69539833,73.86027527,INR,1.0,0.0,Not Negotiable,Unfurnished,450.0,0.0,6100.0
2339,2,BHK,Independent House,Lohegaon,Pune,18.60276604,73.92597961,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1200.0,0.0,15000.0
2340,1,BHK,Independent House,Chinchwad,Pune,18.63802528,73.79302216,INR,1.0,0.0,Not Negotiable,Unfurnished,200.0,0.0,4200.0
2341,1,BHK,Independent House,Chinchwad,Pune,18.63802528,73.79302216,INR,1.0,0.0,Not Negotiable,Unfurnished,250.0,0.0,4200.0
