,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
40,2,BHK,Apartment,Andheri East,Mumbai,19.11651802,72.8895874,INR,2.0,0.0,Not Negotiable,Furnished,900.0,0.0,50000.0
41,2,BHK,Apartment,Badlapur East,Mumbai,19.15496826,73.23058319,INR,2.0,0.0,Not Negotiable,Semi-Furnished,960.0,0.0,9000.0
42,1,BHK,Apartment,Borivali East,Mumbai,19.2192421,72.87139893,INR,2.0,0.0,Not Negotiable,Unfurnished,596.0,0.0,26500.0
43,4,BHK,Apartment,Nerul,Mumbai,19.03691483,73.0173111,INR,2.0,0.0,Not Negotiable,Semi-Furnished,3600.0,0.0,175000.0
44,3,BHK,Apartment,Mahalaxmi,Mumbai,19.00593376,72.82901764,INR,2.0,0.0,Not Negotiable,Semi-Furnished,2200.0,0.0,280000.0
45,2,BHK,Apartment,Kanjurmarg,Mumbai,19.1339817,72.93009186,INR,2.0,0.0,Not Negotiable,Furnished,1075.0,0.0,85000.0
46,3,BHK,Apartment,Seawoods,Mumbai,19.02178192,73.0182724,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1700.0,0.0,88000.0
47,1,BHK,Apartment,Andheri West,Mumbai,19.12942696,72.82150269,INR,1.0,0.0,Not Negotiable,Furnished,650.0,0.0,52000.0
48,1,BHK,Apartment,Dombivali East,Mumbai,19.20812416,73.10401154,INR,1.0,0.0,Not Negotiable,Unfurnished,550.0,0.0,12000.0
49,4,BHK,Apartment,Thane West,Mumbai,19.24331856,72.97618103,INR,3.0,0.0,Not Negotiable,Unfurnished,2100.0,0.0,135000.0
50,1,BHK,Apartment,Titwala,Mumbai,19.29587364,73.20278931,INR,1.0,0.0,Not Negotiable,Unfurnished,715.0,0.0,8500.0
51,3,BHK,Apartment,Chembur,Mumbai,19.06196213,72.89355469,INR,2.0,0.0,Not Negotiable,Unfurnished,1568.0,0.0,75000.0
52,1,BHK,Apartment,Vasai,Mumbai,19.40745163,72.82662964,INR,1.0,0.0,Not Negotiable,Semi-Furnished,545.0,0.0,9000.0
53,1,BHK,Apartment,Karanjade,Mumbai,18.97242546,73.11148834,INR,2.0,0.0,Not Negotiable,Unfurnished,685.0,0.0,7500.0
54,2,BHK,Apartment,Thane West,Mumbai,19.23654938,72.96591187,INR,2.0,0.0,Not Negotiable,Semi-Furnished,650.0,0.0,33000.0
55,2,BHK,Apartment,Ulwe,Mumbai,18.96935654,73.01952362,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1208.0,0.0,16000.0
56,1,BHK,Apartment,Girgaon,Mumbai,18.95569611,72.82301331,INR,2.0,0.0,Not Negotiable,Semi-Furnished,550.0,0.0,60000.0
57,1,RK,Studio Apartment,Andheri East,Mumbai,19.11567116,72.88295746,INR,1.0,0.0,Not Negotiable,Semi-Furnished,350.0,0.0,27000.0
58,2,BHK,Apartment,Thane West,Mumbai,19.25835991,72.98197174,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1000.0,0.0,47000.0
59,2,BHK,Apartment,Andheri East,Mumbai,19.10572433,72.88311005,INR,2.0,0.0,Not Negotiable,Semi-Furnished,875.0,0.0,64800.0
60,3,BHK,Apartment,Thane West,Mumbai,19.22521782,72.97000885,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1100.0,0.0,40000.0
61,2,BHK,Apartment,Dombivali,Mumbai,19.18353844,73.0874939,INR,2.0,0.0,Not Negotiable,Semi-Furnished,900.0,0.0,15000.0
62,1,BHK,Apartment,Malabar Hill,Mumbai,18.95371056,72.8004303,INR,1.0,0.0,Not Negotiable,Furnished,550.0,0.0,85000.0
63,1,BHK,Apartment,Thane West,Mumbai,19.26645279,72.96285248,INR,2.0,0.0,Not Negotiable,Furnished,700.0,0.0,21500.0
64,2,BHK,Apartment,Bandra West,Mumbai,19.05635643,72.8288269,INR,2.0,0.0,Not Negotiable,Semi-Furnished,810.0,0.0,110000.0
65,2,BHK,Apartment,Chembur,Mumbai,19.05235672,72.9146347,INR,1.0,0.0,Not Negotiable,Unfurnished,1000.0,0.0,75000.0
66,2,BHK,Apartment,Panvel,Mumbai,19.00623703,73.10948181,INR,1.0,0.0,Not Negotiable,Unfurnished,500.0,0.0,15000.0
67,4,BHK,Apartment,Dadar West,Mumbai,19.02109528,72.83779144,INR,5.0,0.0,Not Negotiable,Semi-Furnished,3400.0,0.0,300000.0
68,2,BHK,Apartment,Andheri East,Mumbai,19.12298965,72.91322327,INR,2.0,0.0,Not Negotiable,Unfurnished,1250.0,0.0,78000.0
69,2,BHK,Apartment,Goregaon East,Mumbai,19.15336037,72.88577271,INR,2.0,0.0,Not Negotiable,Unfurnished,800.0,0.0,24000.0
70,2,BHK,Apartment,Mahim,Mumbai,19.02898026,72.83972931,INR,2.0,0.0,Not Negotiable,Furnished,900.0,0.0,80000.0
71,2,BHK,Apartment,Andheri West,Mumbai,19.12310028,72.82797241,INR,2.0,0.0,Not Negotiable,Furnished,1200.0,0.0,140000.0
72,1,BHK,Apartment,Sanpada,Mumbai,19.06175041,73.00650024,INR,1.0,0.0,Not Negotiable,Unfurnished,550.0,0.0,25000.0
73,2,BHK,Apartment,Andheri West,Mumbai,19.13805008,72.82532501,INR,2.0,0.0,Not Negotiable,Unfurnished,1100.0,0.0,60000.0
74,3,BHK,Apartment,Goregaon East,Mumbai,19.16552544,72.85199738,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1459.0,0.0,95000.0
75,3,BHK,Apartment,Mulund West,Mumbai,19.16906929,72.9380722,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1350.0,0.0,75000.0
76,2,BHK,Apartment,Thane West,Mumbai,19.22232819,72.98812103,INR,1.0,0.0,Not Negotiable,Furnished,744.0,0.0,37000.0
77,1,BHK,Apartment,Powai,Mumbai,19.11657715,72.91240692,INR,2.0,0.0,Not Negotiable,Furnished,550.0,0.0,70000.0
78,1,RK,Studio Apartment,Tardeo,Mumbai,18.96496964,72.80918121,INR,1.0,0.0,Not Negotiable,Semi-Furnished,400.0,0.0,32000.0
79,3,BHK,Apartment,Kandivali East,Mumbai,19.20110893,72.87722778,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1830.0,0.0,80000.0
80,1,BHK,Apartment,Dombivali,Mumbai,19.14808083,73.07962036,INR,1.0,0.0,Not Negotiable,Unfurnished,645.0,0.0,9500.0
81,2,BHK,Apartment,Malad East,Mumbai,19.17455292,72.86763763,INR,2.0,0.0,Not Negotiable,Semi-Furnished,800.0,0.0,56000.0
82,1,BHK,Independent Floor,Mulund West,Mumbai,30.88825417,75.84442139,INR,1.0,0.0,Not Negotiable,Furnished,1500.0,0.0,15000.0
83,3,BHK,Apartment,Parel,Mumbai,19.00311279,72.85024261,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1800.0,0.0,155000.0
84,2,BHK,Apartment,Thane West,Mumbai,19.22903824,72.98190308,INR,2.0,0.0,Not Negotiable,Semi-Furnished,825.0,0.0,25000.0
