numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
3,BHK,Independent Floor,Uttam Nagar,Delhi,28.62147713,77.05033112,INR,2.0,0.0,Not Negotiable,Furnished,1050.0,0.0,28500.0
1,BHK,Apartment,Chattarpur,Delhi,28.49751854,77.17887115,INR,1.0,0.0,Not Negotiable,Semi-Furnished,450.0,0.0,18000.0
8,BHK,Independent Floor,DLF Farms,Delhi,28.48815346,77.15697479,INR,8.0,0.0,Not Negotiable,Semi-Furnished,7200.0,0.0,1400000.0
1,BHK,Independent Floor,Patel Nagar,Delhi,28.65369034,77.16915894,INR,1.0,0.0,Not Negotiable,Furnished,680.0,0.0,17140.0
2,BHK,Independent Floor,Uttam Nagar,Delhi,28.61945724,77.05670929,INR,1.0,0.0,Not Negotiable,Semi-Furnished,650.0,0.0,12000.0
1,BHK,Independent Floor,Ramesh Nagar,Delhi,28.64922142,77.13320923,INR,1.0,0.0,Not Negotiable,Furnished,600.0,0.0,17000.0
2,BHK,Apartment,Mayur Vihar II,Delhi,28.61963081,77.30245972,INR,1.0,0.0,Not Negotiable,Semi-Furnished,1100.0,0.0,22000.0
2,BHK,Independent Floor,Naraina,Delhi,28.62810516,77.14019012,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1125.0,0.0,30000.0
3,BHK,Independent Floor,Greater Kailash,Delhi,28.53398132,77.24250031,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1800.0,0.0,70000.0
3,BHK,Independent Floor,DLF Phase 5,Delhi,28.45732117,77.10906219,INR,3.0,0.0,Not Negotiable,Furnished,2500.0,0.0,65000.0
3,BHK,Independent House,Chittaranjan Park,Delhi,28.53881073,77.2489624,INR,2.0,0.0,Not Negotiable,Furnished,1250.0,0.0,48000.0
1,RK,Studio Apartment,Green Park,Delhi,28.55895805,77.20407867,INR,1.0,0.0,Not Negotiable,Semi-Furnished,400.0,0.0,20000.0
1,BHK,Apartment,Naraina,Delhi,28.62810516,77.14019012,INR,1.0,0.0,Not Negotiable,Unfurnished,800.0,0.0,14000.0
2,BHK,Apartment,Sector 19 Dwarka,Delhi,28.57611275,77.04671478,INR,2.0,0.0,Not Negotiable,Semi-Furnished,900.0,0.0,25000.0
3,BHK,Apartment,Sector 23 Dwarka,Delhi,28.56313705,77.05447388,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1500.0,0.0,35000.0
3,BHK,Apartment,Sector 6 Dwarka,Delhi,28.58728218,77.06472778,INR,2.0,0.0,Not Negotiable,Furnished,1900.0,0.0,42000.0
3,BHK,Independent Floor,Lajpat Nagar III,Delhi,28.56769562,77.24327087,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1801.0,0.0,59999.0
4,BHK,Independent Floor,Mansarover Garden,Delhi,28.64249039,77.13269806,INR,4.0,0.0,Not Negotiable,Furnished,2700.0,0.0,50000.0
4,BHK,Independent Floor,South Extension 2,Delhi,28.5687809,77.23298645,INR,4.0,0.0,Not Negotiable,Semi-Furnished,3000.0,0.0,250000.0
3,BHK,Apartment,Sector-18 Dwarka,Delhi,28.58725357,77.03544617,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1960.0,0.0,30000.0
2,BHK,Apartment,Chattarpur,Delhi,28.49046516,77.17954254,INR,2.0,0.0,Not Negotiable,Semi-Furnished,720.0,0.0,15000.0
2,BHK,Independent Floor,Vasant Kunj,Delhi,28.52456093,77.14914703,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1050.0,0.0,35000.0
2,BHK,Independent Floor,Mansa Ram Park,Delhi,28.61807823,77.04087067,INR,2.0,0.0,Not Negotiable,Semi-Furnished,650.0,0.0,12500.0
3,BHK,Independent Floor,Paschim Vihar,Delhi,28.66526985,77.0896225,INR,3.0,0.0,Not Negotiable,Semi-Furnished,2250.0,0.0,65000.0
3,BHK,Apartment,Sector 23 Dwarka,Delhi,28.56251144,77.05653381,INR,2.0,0.0,Not Negotiable,Semi-Furnished,2000.0,0.0,40000.0
3,BHK,Independent Floor,Safdarjung Enclave,Delhi,28.56470108,77.19415283,INR,4.0,0.0,Not Negotiable,Semi-Furnished,2700.0,0.0,95000.0
2,BHK,Apartment,Sector 19 Dwarka,Delhi,28.57617188,77.04163361,INR,2.0,0.0,Not Negotiable,Semi-Furnished,1100.0,0.0,25000.0
1,RK,Studio Apartment,Gautam Nagar,Delhi,28.56038666,77.21283722,INR,1.0,0.0,Not Negotiable,Furnished,400.0,0.0,14000.0
3,BHK,Apartment,Sector 22 Dwarka,Delhi,28.55782318,77.05976868,INR,3.0,0.0,Not Negotiable,Semi-Furnished,1800.0,0.0,30000.0
